,klient_id,wyksztalcenie,czy_samochod,czy_mieszkanie,plec,wynagrodzenie,wiek,czy_kupil,czy_w_bazie_klientow,liczba_zakupionych_wczesniej_produktow
101,101,podstawowe,1,1.0,1,10390.0,44.0,0,1,9.0
102,102,srednie,1,0.0,0,5375.0,49.0,0,1,11.0
103,103,podstawowe,0,1.0,0,7046.0,57.0,0,1,8.0
104,104,srednie,1,0.0,0,12176.0,50.0,0,1,18.0
105,105,wyzsze,1,0.0,1,5464.0,37.0,1,1,7.0
106,106,srednie,1,1.0,0,8812.0,58.0,0,1,12.0
107,107,podstawowe,1,0.0,0,7603.0,38.0,1,1,14.0
108,108,srednie,1,1.0,0,10665.0,61.0,0,1,10.0
109,109,wyzsze,1,1.0,1,6315.0,42.0,0,1,9.0
110,110,wyzsze,0,1.0,1,6290.0,,0,1,10.0
111,111,srednie,1,0.0,1,9383.0,48.0,0,0,8.0
112,112,srednie,1,0.0,0,9993.0,47.0,0,1,4.0
113,113,srednie,1,0.0,0,11520.0,45.0,0,1,11.0
114,114,podstawowe,0,1.0,1,6407.0,52.0,0,1,
115,115,srednie,1,1.0,1,11269.0,45.0,0,0,12.0
116,116,wyzsze,1,1.0,1,,53.0,0,1,3.0
117,117,wyzsze,0,1.0,0,10111.0,45.0,0,1,7.0
118,118,podstawowe,0,1.0,0,7448.0,53.0,0,1,17.0
119,119,wyzsze,0,1.0,1,7242.0,43.0,1,0,0.0
120,120,srednie,0,0.0,0,4168.0,60.0,0,1,7.0
121,121,srednie,1,1.0,0,7147.0,46.0,0,1,12.0
122,122,srednie,1,0.0,0,7395.0,59.0,0,1,32.0
123,123,wyzsze,0,1.0,0,8727.0,43.0,0,1,9.0
124,124,srednie,0,1.0,1,6077.0,59.0,0,1,6.0
125,125,srednie,1,1.0,0,6654.0,59.0,0,0,6.0
126,126,podstawowe,1,0.0,0,8843.0,65.0,0,1,5.0
127,127,podstawowe,1,0.0,1,6832.0,50.0,0,1,11.0
128,128,wyzsze,1,1.0,1,6880.0,28.0,1,1,8.0
129,129,wyzsze,0,0.0,1,7108.0,52.0,0,1,0.0
130,130,wyzsze,1,0.0,0,6247.0,49.0,0,1,11.0
131,131,wyzsze,0,,0,7881.0,52.0,0,1,4.0
132,132,wyzsze,1,0.0,1,7634.0,55.0,1,1,23.0
133,133,wyzsze,1,0.0,1,8386.0,36.0,1,0,13.0
134,134,srednie,1,0.0,0,8350.0,53.0,0,1,14.0
135,135,podstawowe,1,0.0,1,8753.0,48.0,1,1,8.0
136,136,podstawowe,0,1.0,0,7498.0,52.0,0,1,10.0
137,137,srednie,1,1.0,0,7211.0,63.0,0,1,0.0
138,138,srednie,0,,0,7681.0,52.0,0,1,7.0
139,139,srednie,1,1.0,0,11267.0,44.0,0,1,6.0
140,140,wyzsze,0,0.0,0,9838.0,57.0,0,1,10.0
141,141,srednie,1,0.0,1,8886.0,52.0,0,0,
142,142,wyzsze,1,1.0,1,7683.0,44.0,1,1,4.0
143,143,srednie,1,0.0,0,7270.0,50.0,0,1,8.0
144,144,podstawowe,0,1.0,0,7337.0,49.0,0,1,10.0
145,145,wyzsze,1,1.0,0,6474.0,53.0,1,0,10.0
146,146,podstawowe,1,0.0,0,5892.0,48.0,1,1,6.0
147,147,srednie,1,0.0,0,5978.0,46.0,0,1,11.0
148,148,podstawowe,1,1.0,0,6403.0,51.0,1,1,0.0
149,149,srednie,1,0.0,0,6205.0,61.0,0,1,8.0
150,150,wyzsze,1,0.0,1,9295.0,51.0,0,0,9.0
151,151,srednie,1,1.0,0,14562.0,48.0,0,1,9.0
152,152,podstawowe,1,1.0,0,6980.0,54.0,0,1,13.0
153,153,wyzsze,1,0.0,0,7049.0,52.0,0,1,12.0
154,154,podstawowe,1,1.0,0,6422.0,53.0,0,1,10.0
155,155,srednie,1,0.0,1,10467.0,51.0,0,1,0.0
156,156,srednie,1,0.0,0,8345.0,53.0,0,1,13.0
157,157,srednie,1,1.0,0,8418.0,58.0,0,1,12.0
158,158,srednie,0,0.0,0,10873.0,46.0,0,1,7.0
159,159,podstawowe,0,0.0,0,10335.0,60.0,0,1,9.0
160,160,wyzsze,1,0.0,1,8570.0,47.0,0,1,8.0
161,161,podstawowe,0,0.0,0,11978.0,45.0,0,1,6.0
162,162,wyzsze,1,1.0,0,7130.0,61.0,0,1,9.0
163,163,srednie,0,0.0,1,11407.0,52.0,0,1,6.0
164,164,srednie,0,1.0,0,8492.0,49.0,0,1,
165,165,podstawowe,0,1.0,0,6338.0,58.0,0,1,13.0
166,166,podstawowe,1,0.0,1,10203.0,44.0,0,1,5.0
167,167,podstawowe,0,0.0,0,7879.0,53.0,0,1,9.0
168,168,podstawowe,0,0.0,1,8323.0,48.0,0,1,10.0
169,169,wyzsze,0,1.0,1,5782.0,45.0,0,1,11.0
170,170,wyzsze,1,0.0,1,5758.0,41.0,0,0,9.0
171,171,wyzsze,0,1.0,0,14238.0,42.0,0,1,6.0
172,172,podstawowe,1,0.0,1,6384.0,64.0,1,1,
173,173,srednie,1,0.0,0,6520.0,50.0,1,1,3.0
174,174,podstawowe,1,0.0,1,6388.0,50.0,0,1,9.0
175,175,srednie,1,0.0,0,7811.0,56.0,0,0,7.0
176,176,wyzsze,0,0.0,0,5770.0,43.0,0,1,9.0
177,177,srednie,1,0.0,0,10724.0,53.0,0,1,12.0
178,178,srednie,0,1.0,0,10421.0,53.0,0,1,5.0
179,179,podstawowe,1,1.0,1,7132.0,57.0,0,1,14.0
180,180,srednie,1,1.0,1,5902.0,49.0,0,1,11.0
181,181,podstawowe,0,1.0,1,9373.0,53.0,1,1,12.0
182,182,podstawowe,1,0.0,1,5913.0,45.0,0,1,12.0
183,183,srednie,1,0.0,1,8171.0,52.0,1,1,7.0
184,184,wyzsze,0,0.0,1,6133.0,55.0,1,1,
185,185,podstawowe,0,1.0,1,4801.0,50.0,0,1,
186,186,wyzsze,0,1.0,0,6991.0,,1,1,6.0
187,187,srednie,1,0.0,0,10240.0,53.0,0,1,7.0
188,188,srednie,0,0.0,0,15541.0,38.0,0,1,6.0
189,189,srednie,1,1.0,0,6880.0,53.0,0,1,8.0
190,190,srednie,1,1.0,1,7289.0,69.0,1,1,24.0
191,191,podstawowe,1,1.0,1,4681.0,44.0,0,1,12.0
192,192,wyzsze,0,1.0,1,8438.0,43.0,0,0,9.0
193,193,srednie,1,1.0,1,7149.0,53.0,0,1,9.0
194,194,srednie,0,1.0,1,5553.0,50.0,1,0,31.0
195,195,wyzsze,0,0.0,1,4322.0,,1,1,10.0
196,196,podstawowe,0,1.0,0,8781.0,50.0,0,1,11.0
197,197,wyzsze,1,0.0,1,8330.0,40.0,1,0,
198,198,podstawowe,1,1.0,1,6543.0,49.0,1,1,7.0
199,199,podstawowe,0,0.0,1,5707.0,50.0,0,1,13.0
200,200,srednie,0,0.0,1,6512.0,58.0,0,1,5.0
201,201,srednie,1,1.0,0,8463.0,42.0,0,0,12.0
202,202,wyzsze,0,1.0,0,8568.0,36.0,0,1,3.0
203,203,srednie,0,1.0,0,9436.0,55.0,0,1,14.0
204,204,wyzsze,1,0.0,1,12191.0,49.0,0,0,5.0
205,205,srednie,1,0.0,0,8538.0,38.0,1,1,10.0
206,206,srednie,0,1.0,0,5960.0,53.0,0,1,9.0
207,207,wyzsze,1,0.0,1,5509.0,56.0,0,1,11.0
208,208,srednie,0,0.0,0,7892.0,62.0,0,0,7.0
209,209,srednie,1,0.0,0,7666.0,32.0,1,1,36.0
210,210,wyzsze,0,0.0,0,,44.0,0,1,34.0
211,211,srednie,1,1.0,0,7083.0,51.0,0,1,6.0
212,212,podstawowe,1,0.0,1,7191.0,52.0,0,1,5.0
213,213,wyzsze,0,0.0,1,6504.0,30.0,0,1,11.0
214,214,srednie,1,0.0,0,6950.0,60.0,0,1,12.0
215,215,podstawowe,1,1.0,0,10199.0,,0,1,11.0
216,216,wyzsze,1,1.0,0,7478.0,43.0,0,1,6.0
217,217,srednie,0,0.0,0,8045.0,52.0,0,0,12.0
218,218,wyzsze,0,1.0,0,8386.0,52.0,0,0,15.0
219,219,podstawowe,1,1.0,0,9186.0,,0,1,
220,220,wyzsze,0,1.0,1,4988.0,46.0,0,1,12.0
221,221,wyzsze,1,1.0,0,5436.0,34.0,0,1,14.0
222,222,podstawowe,1,0.0,0,6550.0,51.0,0,1,4.0
223,223,srednie,0,0.0,0,11985.0,45.0,0,1,13.0
224,224,podstawowe,1,1.0,0,4903.0,53.0,0,1,
225,225,wyzsze,0,1.0,1,8736.0,44.0,0,1,7.0
226,226,podstawowe,1,1.0,0,10421.0,46.0,0,1,12.0
227,227,wyzsze,1,1.0,0,9417.0,47.0,0,1,7.0
228,228,wyzsze,1,1.0,0,9591.0,41.0,0,1,6.0
229,229,srednie,1,0.0,1,5960.0,50.0,0,1,
230,230,wyzsze,1,1.0,1,6746.0,55.0,0,1,11.0
231,231,podstawowe,1,0.0,0,10820.0,,0,1,8.0
232,232,wyzsze,0,1.0,0,8006.0,49.0,0,1,8.0
233,233,srednie,0,0.0,1,6123.0,42.0,0,1,10.0
234,234,podstawowe,1,0.0,0,9235.0,46.0,0,1,11.0
235,235,wyzsze,0,1.0,1,8373.0,57.0,0,0,
236,236,wyzsze,1,0.0,0,10333.0,49.0,0,1,12.0
237,237,wyzsze,1,1.0,0,11970.0,38.0,0,1,
238,238,wyzsze,0,0.0,0,6945.0,37.0,0,0,
239,239,podstawowe,1,1.0,0,10749.0,43.0,0,1,13.0
240,240,wyzsze,1,0.0,0,9161.0,41.0,0,0,6.0
241,241,srednie,1,0.0,0,7512.0,56.0,0,0,12.0
242,242,podstawowe,1,1.0,0,7275.0,57.0,0,0,4.0
243,243,wyzsze,1,1.0,1,8986.0,45.0,0,1,13.0
244,244,srednie,0,0.0,0,7393.0,47.0,0,1,6.0
245,245,srednie,1,0.0,0,9600.0,63.0,0,0,8.0
246,246,wyzsze,1,1.0,0,5433.0,41.0,1,1,11.0
247,247,srednie,0,0.0,1,11760.0,62.0,0,1,5.0
248,248,srednie,1,0.0,0,7663.0,49.0,0,0,3.0
249,249,wyzsze,1,1.0,1,8268.0,45.0,1,1,10.0
250,250,srednie,1,0.0,0,6726.0,39.0,0,1,12.0
251,251,wyzsze,0,1.0,1,8213.0,37.0,0,0,6.0
252,252,srednie,0,0.0,1,7892.0,61.0,0,0,9.0
253,253,srednie,1,1.0,0,6254.0,52.0,0,1,
254,254,podstawowe,0,0.0,0,8220.0,60.0,0,0,11.0
255,255,wyzsze,1,1.0,1,9742.0,42.0,1,1,11.0
256,256,wyzsze,0,1.0,1,6915.0,46.0,0,1,11.0
257,257,srednie,0,1.0,0,8986.0,58.0,0,0,11.0
258,258,srednie,1,1.0,0,10407.0,52.0,0,0,10.0
259,259,podstawowe,1,0.0,1,7084.0,46.0,1,0,10.0
260,260,wyzsze,1,1.0,0,9501.0,55.0,0,0,34.0
261,261,srednie,0,1.0,1,11107.0,54.0,0,1,8.0
262,262,podstawowe,0,1.0,0,7792.0,64.0,0,0,10.0
263,263,podstawowe,1,1.0,0,11049.0,42.0,0,1,9.0
264,264,srednie,1,0.0,1,9555.0,48.0,0,1,
265,265,podstawowe,1,0.0,0,10360.0,55.0,0,1,10.0
266,266,wyzsze,1,1.0,1,4716.0,63.0,0,1,3.0
267,267,podstawowe,1,1.0,0,7096.0,59.0,0,1,7.0
268,268,wyzsze,1,0.0,0,11527.0,,0,1,4.0
269,269,srednie,0,1.0,0,7035.0,49.0,0,1,10.0
270,270,wyzsze,0,1.0,1,7916.0,46.0,1,1,13.0
271,271,wyzsze,1,1.0,1,8083.0,46.0,1,1,
272,272,wyzsze,1,1.0,1,5396.0,30.0,1,1,
273,273,srednie,1,1.0,0,9428.0,49.0,0,1,7.0
274,274,srednie,1,1.0,1,6858.0,53.0,0,1,2.0
275,275,podstawowe,0,0.0,1,10182.0,45.0,0,1,3.0
276,276,srednie,0,1.0,1,7680.0,55.0,0,1,11.0
277,277,srednie,0,0.0,1,6514.0,43.0,0,1,13.0
278,278,wyzsze,1,0.0,1,9569.0,55.0,0,1,8.0
279,279,srednie,1,1.0,1,11197.0,65.0,0,1,1.0
280,280,srednie,1,1.0,1,5755.0,44.0,0,1,10.0
281,281,podstawowe,0,1.0,1,6121.0,45.0,0,0,
282,282,podstawowe,0,1.0,1,7931.0,57.0,1,1,11.0
283,283,wyzsze,1,0.0,1,9600.0,47.0,0,1,10.0
284,284,srednie,1,1.0,0,7817.0,56.0,0,1,12.0
285,285,wyzsze,1,0.0,1,7640.0,43.0,0,1,
286,286,podstawowe,1,0.0,0,9671.0,44.0,0,0,4.0
287,287,wyzsze,1,1.0,0,14129.0,43.0,0,0,
288,288,srednie,1,1.0,1,7434.0,48.0,1,1,39.0
289,289,wyzsze,1,1.0,1,10626.0,46.0,0,1,38.0
290,290,srednie,1,0.0,0,9859.0,58.0,1,0,6.0
291,291,srednie,0,0.0,0,,55.0,0,0,
292,292,wyzsze,1,0.0,0,7179.0,43.0,0,1,8.0
293,293,srednie,1,1.0,0,8042.0,48.0,0,1,8.0
294,294,wyzsze,1,1.0,1,7721.0,53.0,0,1,7.0
295,295,podstawowe,1,1.0,0,9970.0,41.0,1,0,12.0
296,296,podstawowe,1,1.0,0,6857.0,,0,1,6.0
297,297,srednie,0,1.0,0,7081.0,37.0,1,1,1.0
298,298,srednie,1,0.0,0,11535.0,51.0,0,1,3.0
299,299,podstawowe,1,0.0,0,6067.0,49.0,0,0,
300,300,podstawowe,1,0.0,1,5342.0,37.0,1,1,8.0
301,301,wyzsze,1,0.0,0,7183.0,56.0,0,0,9.0
302,302,srednie,1,0.0,1,5978.0,,1,1,6.0
303,303,wyzsze,1,1.0,0,12573.0,40.0,0,1,14.0
304,304,podstawowe,1,1.0,1,5896.0,55.0,0,1,11.0
305,305,podstawowe,0,,1,6887.0,18.0,1,0,3.0
306,306,wyzsze,0,1.0,1,8141.0,53.0,0,1,8.0
307,307,wyzsze,1,1.0,0,13773.0,50.0,0,0,12.0
308,308,srednie,1,0.0,1,6701.0,58.0,0,1,12.0
309,309,podstawowe,0,0.0,1,11129.0,50.0,0,0,13.0
310,310,wyzsze,1,0.0,0,7143.0,69.0,0,1,5.0
311,311,wyzsze,1,1.0,1,6006.0,46.0,0,1,12.0
312,312,wyzsze,1,0.0,1,8031.0,52.0,0,1,
313,313,wyzsze,0,1.0,0,7867.0,53.0,0,1,8.0
314,314,srednie,1,1.0,0,10836.0,55.0,1,0,4.0
315,315,wyzsze,1,1.0,0,12320.0,43.0,0,1,6.0
316,316,wyzsze,1,1.0,0,6902.0,48.0,0,1,6.0
317,317,wyzsze,1,1.0,0,7668.0,46.0,0,1,
318,318,podstawowe,0,1.0,0,10976.0,52.0,0,1,12.0
319,319,podstawowe,1,1.0,0,7906.0,48.0,0,1,0.0
320,320,srednie,1,1.0,0,11387.0,50.0,0,1,12.0
321,321,wyzsze,1,1.0,1,6609.0,36.0,1,1,6.0
322,322,wyzsze,1,1.0,0,8804.0,58.0,0,1,15.0
323,323,srednie,0,0.0,1,4861.0,53.0,0,1,7.0
324,324,srednie,0,1.0,0,6373.0,30.0,1,1,7.0
325,325,srednie,0,1.0,0,8689.0,54.0,0,0,10.0
326,326,wyzsze,0,1.0,1,10890.0,44.0,0,1,9.0
327,327,srednie,1,1.0,0,6153.0,45.0,0,1,8.0
328,328,wyzsze,1,0.0,0,10644.0,55.0,0,1,0.0
329,329,srednie,0,1.0,1,5912.0,47.0,1,0,12.0
330,330,srednie,1,0.0,1,12168.0,51.0,0,1,11.0
331,331,wyzsze,1,0.0,0,7478.0,56.0,0,1,
332,332,srednie,0,1.0,0,6394.0,48.0,1,1,1.0
333,333,wyzsze,1,1.0,1,10024.0,50.0,0,1,8.0
334,334,srednie,0,1.0,0,6671.0,56.0,0,1,9.0
335,335,srednie,0,1.0,0,8662.0,52.0,0,1,11.0
336,336,wyzsze,1,0.0,0,5143.0,49.0,0,1,9.0
337,337,wyzsze,0,1.0,1,6505.0,37.0,1,1,10.0
338,338,srednie,1,1.0,0,8500.0,50.0,0,1,5.0
339,339,podstawowe,1,0.0,1,8522.0,43.0,0,1,13.0
340,340,podstawowe,1,1.0,0,8085.0,57.0,1,1,1.0
341,341,srednie,0,0.0,0,7302.0,50.0,0,1,5.0
342,342,wyzsze,1,,0,8046.0,66.0,0,1,11.0
343,343,srednie,1,1.0,1,10541.0,54.0,0,1,8.0
344,344,srednie,0,0.0,0,6028.0,53.0,0,1,7.0
345,345,srednie,1,1.0,0,7833.0,56.0,0,1,
346,346,srednie,1,1.0,0,6919.0,49.0,0,1,5.0
347,347,podstawowe,1,1.0,0,9948.0,57.0,0,0,10.0
348,348,srednie,1,1.0,0,10766.0,51.0,0,1,4.0
349,349,srednie,0,0.0,1,8934.0,51.0,0,1,11.0
350,350,podstawowe,1,1.0,0,6836.0,45.0,0,1,5.0
351,351,srednie,1,1.0,1,5747.0,40.0,1,1,10.0
352,352,wyzsze,0,0.0,0,9007.0,44.0,0,0,
353,353,srednie,1,0.0,1,,64.0,0,1,6.0
354,354,wyzsze,1,1.0,0,8373.0,49.0,0,0,3.0
355,355,wyzsze,1,0.0,1,6646.0,55.0,0,1,12.0
356,356,wyzsze,1,1.0,0,8661.0,62.0,1,0,4.0
357,357,srednie,0,0.0,0,6884.0,59.0,0,1,5.0
358,358,wyzsze,1,0.0,1,9382.0,60.0,0,1,6.0
359,359,srednie,0,1.0,0,12751.0,58.0,0,1,8.0
360,360,srednie,1,1.0,0,7452.0,49.0,1,1,14.0
361,361,wyzsze,0,1.0,0,8218.0,53.0,0,0,6.0
362,362,srednie,0,0.0,0,12517.0,37.0,0,1,2.0
363,363,srednie,0,1.0,0,9358.0,47.0,0,1,9.0
364,364,podstawowe,1,1.0,1,12019.0,58.0,0,1,0.0
365,365,srednie,1,1.0,0,9669.0,61.0,1,1,1.0
366,366,srednie,1,1.0,0,5862.0,55.0,0,0,7.0
367,367,podstawowe,1,1.0,1,,46.0,0,1,9.0
368,368,podstawowe,0,1.0,0,7625.0,47.0,0,1,5.0
369,369,srednie,0,0.0,0,11178.0,47.0,0,1,14.0
370,370,srednie,1,1.0,0,12250.0,49.0,0,1,36.0
371,371,wyzsze,1,1.0,0,6527.0,48.0,0,1,7.0
372,372,srednie,0,0.0,0,6999.0,57.0,0,0,6.0
373,373,podstawowe,1,1.0,1,12414.0,53.0,0,0,10.0
374,374,podstawowe,1,1.0,0,6781.0,60.0,0,1,
375,375,wyzsze,0,0.0,0,7341.0,59.0,0,1,
376,376,podstawowe,1,1.0,1,10905.0,49.0,0,1,12.0
377,377,podstawowe,0,0.0,1,14287.0,52.0,0,1,9.0
378,378,wyzsze,0,1.0,0,10341.0,54.0,0,1,11.0
379,379,wyzsze,0,1.0,1,7633.0,42.0,1,1,12.0
380,380,podstawowe,1,1.0,0,12441.0,50.0,0,1,5.0
381,381,podstawowe,0,1.0,1,8406.0,52.0,1,1,9.0
382,382,wyzsze,0,1.0,0,11854.0,49.0,1,1,
383,383,wyzsze,0,0.0,0,9662.0,51.0,0,1,10.0
384,384,podstawowe,0,0.0,0,9694.0,,0,1,8.0
385,385,podstawowe,1,1.0,0,8320.0,54.0,0,1,4.0
386,386,wyzsze,1,0.0,0,9993.0,57.0,0,1,2.0
387,387,podstawowe,1,0.0,1,7018.0,55.0,0,1,
388,388,podstawowe,0,0.0,0,6775.0,52.0,0,0,7.0
389,389,podstawowe,0,1.0,0,9864.0,53.0,0,1,6.0
390,390,srednie,1,0.0,0,10408.0,48.0,0,0,11.0
391,391,wyzsze,1,,0,10554.0,44.0,0,1,11.0
392,392,podstawowe,1,0.0,0,11820.0,54.0,0,1,2.0
393,393,wyzsze,1,1.0,0,6943.0,54.0,0,0,4.0
394,394,wyzsze,1,1.0,0,7764.0,49.0,0,1,9.0
395,395,srednie,1,1.0,0,12012.0,45.0,0,1,
396,396,srednie,1,1.0,0,8593.0,50.0,1,0,10.0
397,397,srednie,1,0.0,0,8238.0,33.0,1,0,5.0
398,398,srednie,1,1.0,0,12148.0,56.0,0,0,8.0
399,399,podstawowe,1,1.0,0,6712.0,51.0,0,1,5.0
400,400,podstawowe,0,0.0,0,9237.0,54.0,0,1,12.0
401,401,wyzsze,1,0.0,0,10966.0,42.0,0,1,18.0
402,402,srednie,0,1.0,1,11979.0,58.0,0,1,10.0
403,403,wyzsze,0,1.0,0,7931.0,60.0,0,1,2.0
404,404,wyzsze,0,0.0,0,8789.0,57.0,0,1,11.0
405,405,srednie,0,1.0,0,8343.0,54.0,0,1,
406,406,srednie,0,0.0,1,,53.0,0,0,11.0
407,407,srednie,1,1.0,0,11433.0,50.0,0,1,3.0
408,408,wyzsze,1,1.0,0,6607.0,41.0,0,1,8.0
409,409,wyzsze,1,0.0,0,8114.0,52.0,0,1,1.0
